id,slug,name,website,launch_monitors,price_min,price_max,price_snippets,crawl_status
18b47149-2045-4dc9-a65a-92d8458302da,serbins-custom-golf-repair-exeter-pa,Serbin's Custom GOLF & Repair,https://www.procustomclubfitters.com/fitters-profiles/Serbins-Custom-Golf-Shop-Top-Custom-Club-Fitter-108.html,,,,,ok
19a6fcf3-7341-4f21-a5fb-ae54a4ce1158,the-golf-nut-performance-center-and-pro-shop-fort-smith-ar,The GOLF Nut Performance Center And PRO Shop,https://www.thegolfnut.com/,,,,,ok
19b350f1-b040-465f-9c14-2915eea0c2a6,golf-ball-refurbisher-loudonville-oh,GOLF Ball Refurbisher,https://golfballrefurbishers.com/,,,,,ok
19d089ee-f418-409b-ab51-eaee788de7a9,west-georgia-golf-company-llc-tallapoosa-ga,West Georgia GOLF Company LLC,https://www.westgeorgiagolfcompany.com/,,,,,failed
19d90503-b353-4767-ba69-f9afe5ddb6ad,wide-world-of-golf-boise-id,Wide World Of GOLF,https://www.wwgolf.com/,,139,799,st GT3 Hybrid ](https://www.wwgolf.com/titleist-gt3-hybrid/) Titleist $329.00 [Choose Options](https://www.wwgolf.com || st GT2 Hybrid ](https://www.wwgolf.com/titleist-gt2-hybrid/) Titleist $329.00 [Choose Options](https://www.wwgolf.com || https://www.wwgolf.com/taylormade-spider-zt-black-putter/) TaylorMade $449.99 [Choose Options](https://www.wwgolf.com || tps://www.wwgolf.com/cleveland-smart-sole-full-face-wedge/) Cleveland $139.99 - $149.99 [Choose Options](https://www. || wwgolf.com/cleveland-smart-sole-full-face-wedge/) Cleveland $139.99 - $149.99 [Choose Options](https://www.wwgolf.com || ps://www.wwgolf.com/mizuno-jpx-925-hot-metal-hl-irons-custom/) Mizuno $165.00 [Choose Options](https://www.wwgolf.com,ok
19f724ce-6e68-4e36-855c-8cae62b67047,pmc-golf-academy-gainesville-va,Pmc GOLF Academy,https://www.pmcgolf.com/,TrackMan,,,,ok
1b57df4d-c7e2-4eff-898f-3d4b0ac8d1db,mw-golf-rochester-mi,Mw GOLF,https://www.mwgolfclubs.com/,,,,,failed
1bb1cb68-c98a-4b0d-ab8f-6d24398504b8,golf-gaylord-gaylord-mi,GOLF Gaylord,https://www.golfgaylordstore.com/,,,,,ok
1bbd5c5b-9e2f-4c04-86a0-06c50f27e276,oakmont-golf-center-oakmont-pa,Oakmont GOLF Center,https://www.oakmontgolfcenter.com/,TrackMan,,,,ok
1bc44b9a-8c57-4f2e-a848-11c59ee2ea95,taylormade-performance-fitting-center-mckees-rocks-pa,TaylorMade Performance Fitting Center,https://taylormadeperformancefittingcenter.com/,TrackMan,,,,ok
